Child_BIRTHS_ALL_YEAR,RESID_STATE,AGE,EMPLOYMENT,EDUC_LEVEL,YEAR,marriage_dummies
1,26,16,1,11,3,1
0,26,14,0,0,3,1
0,26,10,0,0,3,0
3,26,18,1,11,3,1
1,48,7,0,0,3,0
2,48,5,0,0,3,0
0,48,2,0,0,3,0
0,48,7,0,0,3,0
0,48,3,0,0,3,0
0,26,10,0,0,3,0
0,26,3,0,0,3,0
0,49,6,0,0,3,0
1,49,17,1,11,3,0
0,26,6,0,0,3,0
0,48,3,0,0,3,0
1,48,11,0,0,3,0
1,48,10,0,0,3,1
1,26,16,7,10,3,0
0,26,13,0,0,3,0
1,40,13,0,0,3,0
0,48,10,0,0,3,0
3,26,14,0,0,3,1
0,24,12,0,0,3,0
0,24,10,0,0,3,0
1,48,18,1,12,3,1
1,48,16,7,10,3,1
0,48,17,7,10,3,0
2,49,10,0,0,3,1
0,26,15,0,0,3,0
0,26,7,0,0,3,1
0,26,4,0,0,3,1
1,26,15,0,0,3,0
1,26,8,0,0,3,1
0,26,8,0,0,3,0
0,26,8,0,0,3,0
2,40,18,1,12,3,0
1,40,19,1,12,3,0
2,40,18,1,9,3,1
5,40,14,0,0,3,0
0,40,3,0,0,3,0
4,40,13,0,0,3,1
0,26,14,0,0,3,0
0,26,11,0,0,3,0
1,48,17,1,10,3,1
0,48,5,0,0,3,0
1,48,9,0,0,3,1
0,25,3,0,0,3,0
1,25,15,0,0,3,1
1,48,15,0,0,3,1
0,48,11,0,0,3,0
0,25,12,0,0,3,1
0,25,11,0,0,3,0
0,48,12,0,0,3,1
0,48,10,0,0,3,0
0,48,8,0,0,3,0
1,48,18,7,11,3,1
0,48,7,0,0,3,0
0,25,19,7,13,3,1
1,25,16,7,10,3,0
0,48,2,0,0,3,0
8,26,18,7,10,3,0
3,26,17,7,10,3,0
