Child_BIRTHS_ALL_YEAR,MARITAL_STATUS_ALL_YEAR,RESID_STATE,AGE,EMPLOYMENT,EDUC_LEVEL,YEAR,marriage_dummies,treatment,women_LFP,post,post_treatment
4,2,26,15,0,0,1,0,1,0,0,0
1,1,26,13,0,0,1,1,1,0,0,0
0,2,25,16,1,9,1,0,1,1,0,0
0,2,25,11,0,0,1,0,1,0,0,0
1,1,26,11,0,0,1,1,1,0,0,0
0,2,48,12,0,0,1,0,1,0,0,0
3,1,26,17,7,11,1,1,1,0,0,0
3,2,48,14,0,0,1,0,1,0,0,0
0,2,48,1,0,0,1,0,1,0,0,0
1,1,25,13,0,0,1,1,1,0,0,0
0,2,25,11,0,0,1,0,1,0,0,0
0,2,26,1,0,0,1,0,1,0,0,0
1,1,26,12,0,0,1,1,1,0,0,0
0,2,26,10,0,0,1,0,1,0,0,0
4,1,26,8,0,0,1,1,1,0,0,0
0,1,26,7,0,0,1,1,1,0,0,0
1,1,26,4,0,0,1,1,1,0,0,0
0,2,25,1,0,0,1,0,1,0,0,0
0,2,48,13,0,0,1,0,1,0,0,0
0,2,24,1,0,0,1,0,0,0,0,0
0,1,49,6,0,0,1,1,1,0,0,0
0,2,49,3,0,0,1,0,1,0,0,0
